https://www.bikotbi.org/ontology/BIKO_000182,https://www.bikotbi.org/ontology/BIKO_000059,https://www.bikotbi.org/ontology/BIKO_000171,https://www.bikotbi.org/ontology/BIKO_000178,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000086,https://www.bikotbi.org/ontology/BIKO_000062,https://www.bikotbi.org/ontology/BIKO_000063,https://www.bikotbi.org/ontology/BIKO_000157,https://www.bikotbi.org/ontology/BIKO_000184,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000181,https://www.bikotbi.org/ontology/BIKO_000028
,,https://doi.org/10.1016/j.etp.2010.07.007,PMID:20688496,"Mirzayan MJ, Probst C, Samii M, Krettek C, Gharabaghi A, Pape HC, van Griensven M, Samii A. Histopathological features of the brain, liver, kidney and spleen following an innovative polytrauma model of the mouseExp Toxicol Pathol. 2012 Mar;64(3):133-9. doi: 10.1016\/j.etp.2010.07.007. Epub 2010 Aug 4.","Mirzayan MJ, Probst C, Samii M, Krettek C, Gharabaghi A, Pape HC, van Griensven M, Samii A. Histopathological features of the brain, liver, kidney and spleen following an innovative polytrauma model of the mouseExp Toxicol Pathol. 2012 Mar;64(3):133-9. doi: 10.1016\/j.etp.2010.07.007. Epub 2010 Aug 4.",male,male,mouse,C57BL,C57BL,,18,"Mirzayan MJ, Probst C, Samii M, Krettek C, Gharabaghi A, Pape HC, van Griensven M, Samii A. Histopathological features of the brain, liver, kidney and spleen following an innovative polytrauma model of the mouseExp Toxicol Pathol. 2012 Mar;64(3):133-9. doi: 10.1016\/j.etp.2010.07.007. Epub 2010 Aug 4.","Mirzayan MJ, Probst C, Samii M, Krettek C, Gharabaghi A, Pape HC, van Griensven M, Samii A. Histopathological features of the brain, liver, kidney and spleen following an innovative polytrauma model of the mouseExp Toxicol Pathol. 2012 Mar;64(3):133-9. doi: 10.1016\/j.etp.2010.07.007. Epub 2010 Aug 4.",male,male,pneumatically controlled cortical impact device,Controlled cortical impact model
,250 - 300 g,http://dx.doi.org/10.1016/j.jtemb.2014.07.007,PMID:25200616,"Choi BY, Kim JH, Kim HJ, Lee BE, Kim IY, Sohn M, Suh SW. Zinc chelation reduces traumatic brain injury-induced neurogenesis in the subgranular zone of the hippocampal dentate gyrusJ Trace Elem Med Biol. 2014 Oct;28(4):474-81. doi: 10.1016\/j.jtemb.2014.07.007. Epub 2014 Aug 4.","Choi BY, Kim JH, Kim HJ, Lee BE, Kim IY, Sohn M, Suh SW. Zinc chelation reduces traumatic brain injury-induced neurogenesis in the subgranular zone of the hippocampal dentate gyrusJ Trace Elem Med Biol. 2014 Oct;28(4):474-81. doi: 10.1016\/j.jtemb.2014.07.007. Epub 2014 Aug 4.",male,male,rat,Sprague-Dawley,Sprague-Dawley,Impact OneTM Stereotaxic Impactor,19,"Choi BY, Kim JH, Kim HJ, Lee BE, Kim IY, Sohn M, Suh SW. Zinc chelation reduces traumatic brain injury-induced neurogenesis in the subgranular zone of the hippocampal dentate gyrusJ Trace Elem Med Biol. 2014 Oct;28(4):474-81. doi: 10.1016\/j.jtemb.2014.07.007. Epub 2014 Aug 4.","Choi BY, Kim JH, Kim HJ, Lee BE, Kim IY, Sohn M, Suh SW. Zinc chelation reduces traumatic brain injury-induced neurogenesis in the subgranular zone of the hippocampal dentate gyrusJ Trace Elem Med Biol. 2014 Oct;28(4):474-81. doi: 10.1016\/j.jtemb.2014.07.007. Epub 2014 Aug 4.",male,male,Electromagnetic controlled cortical impactor,Weight-drop model
,"5.9 kg, 6.9 kg",https://doi.org/10.1089/neu.2009.1178,PMID:20684677,"King C, Robinson T, Dixon CE, Rao GR, Larnard D, Nemoto CE. Brain temperature profiles during epidural cooling with the ChillerPad in a monkey model of traumatic brain injuryJ Neurotrauma. 2010 Oct;27(10):1895-903. doi: 10.1089\/neu.2009.1178. Epub 2010 Sep 16.","King C, Robinson T, Dixon CE, Rao GR, Larnard D, Nemoto CE. Brain temperature profiles during epidural cooling with the ChillerPad in a monkey model of traumatic brain injuryJ Neurotrauma. 2010 Oct;27(10):1895-903. doi: 10.1089\/neu.2009.1178. Epub 2010 Sep 16.",female,female,monkey,Rhesus macaque,Rhesus macaque,,25,"King C, Robinson T, Dixon CE, Rao GR, Larnard D, Nemoto CE. Brain temperature profiles during epidural cooling with the ChillerPad in a monkey model of traumatic brain injuryJ Neurotrauma. 2010 Oct;27(10):1895-903. doi: 10.1089\/neu.2009.1178. Epub 2010 Sep 16.","King C, Robinson T, Dixon CE, Rao GR, Larnard D, Nemoto CE. Brain temperature profiles during epidural cooling with the ChillerPad in a monkey model of traumatic brain injuryJ Neurotrauma. 2010 Oct;27(10):1895-903. doi: 10.1089\/neu.2009.1178. Epub 2010 Sep 16.",female,female,pneumatically controlled impactor,Controlled cortical impact model
,150 - 200 g,https://doi.org/10.1089/089771501300227378,PMID:11393260,"Woertgen C, Rothoerl RD, Brawanski A. Neuron-specific enolase serum levels after controlled cortical impact injury in the ratJ Neurotrauma. 2001 May;18(5):569-73. doi: 10.1089\/089771501300227378.","Woertgen C, Rothoerl RD, Brawanski A. Neuron-specific enolase serum levels after controlled cortical impact injury in the ratJ Neurotrauma. 2001 May;18(5):569-73. doi: 10.1089\/089771501300227378.",male,male,rat,Wistar,Wistar,,27,"Woertgen C, Rothoerl RD, Brawanski A. Neuron-specific enolase serum levels after controlled cortical impact injury in the ratJ Neurotrauma. 2001 May;18(5):569-73. doi: 10.1089\/089771501300227378.","Woertgen C, Rothoerl RD, Brawanski A. Neuron-specific enolase serum levels after controlled cortical impact injury in the ratJ Neurotrauma. 2001 May;18(5):569-73. doi: 10.1089\/089771501300227378.",male,male,controlled cortical impact device,Controlled cortical impact model
Adult,1 - 1.5 kg,https://doi.org/10.1089/neu.1988.5.1 ,PMID:3193461,Lighthall JW. Controlled cortical impact: a new experimental brain injury modelJ Neurotrauma. 1988;5(1):1-15. doi: 10.1089\/neu.1988.5.1.,Lighthall JW. Controlled cortical impact: a new experimental brain injury modelJ Neurotrauma. 1988;5(1):1-15. doi: 10.1089\/neu.1988.5.1.,male,male,ferret,,,,28,Lighthall JW. Controlled cortical impact: a new experimental brain injury modelJ Neurotrauma. 1988;5(1):1-15. doi: 10.1089\/neu.1988.5.1.,Lighthall JW. Controlled cortical impact: a new experimental brain injury modelJ Neurotrauma. 1988;5(1):1-15. doi: 10.1089\/neu.1988.5.1.,male,male,pneumatically controlled impactor,Controlled cortical impact model
Adult,1 - 1.5 kg,https://doi.org/10.1089/neu.1990.7.65,PMID:2376865,"Lighthall JW, Goshgarian HG, Pinderski CR. Characterization of axonal injury produced by controlled cortical impactJ Neurotrauma. 1990 Summer;7(2):65-76. doi: 10.1089\/neu.1990.7.65.","Lighthall JW, Goshgarian HG, Pinderski CR. Characterization of axonal injury produced by controlled cortical impactJ Neurotrauma. 1990 Summer;7(2):65-76. doi: 10.1089\/neu.1990.7.65.",male,male,ferret,,,,29,"Lighthall JW, Goshgarian HG, Pinderski CR. Characterization of axonal injury produced by controlled cortical impactJ Neurotrauma. 1990 Summer;7(2):65-76. doi: 10.1089\/neu.1990.7.65.","Lighthall JW, Goshgarian HG, Pinderski CR. Characterization of axonal injury produced by controlled cortical impactJ Neurotrauma. 1990 Summer;7(2):65-76. doi: 10.1089\/neu.1990.7.65.",male,male,stroke-constrained pneumatic cylinder,Controlled cortical impact model
Adult,25 - 32 g,https://doi.org/10.1089/neu.1995.12.169 ,PMID:7629863,"Smith DH, Soares HD, Pierce JS, Perlman KG, Saatman KE, Meaney DF, Dixon CE, McIntosh TK. A model of parasagittal controlled cortical impact in the mouse: cognitive and histopathologic effectsJ Neurotrauma. 1995 Apr;12(2):169-78. doi: 10.1089\/neu.1995.12.169.","Smith DH, Soares HD, Pierce JS, Perlman KG, Saatman KE, Meaney DF, Dixon CE, McIntosh TK. A model of parasagittal controlled cortical impact in the mouse: cognitive and histopathologic effectsJ Neurotrauma. 1995 Apr;12(2):169-78. doi: 10.1089\/neu.1995.12.169.",male,male,mouse,C57BL,C57BL,,31,"Smith DH, Soares HD, Pierce JS, Perlman KG, Saatman KE, Meaney DF, Dixon CE, McIntosh TK. A model of parasagittal controlled cortical impact in the mouse: cognitive and histopathologic effectsJ Neurotrauma. 1995 Apr;12(2):169-78. doi: 10.1089\/neu.1995.12.169.","Smith DH, Soares HD, Pierce JS, Perlman KG, Saatman KE, Meaney DF, Dixon CE, McIntosh TK. A model of parasagittal controlled cortical impact in the mouse: cognitive and histopathologic effectsJ Neurotrauma. 1995 Apr;12(2):169-78. doi: 10.1089\/neu.1995.12.169.",male,male,pneumatically controlled cortical impact device,Controlled cortical impact model
,,https://doi.org/10.1089/neu.2016.4648,PMID:27573472,"Sindelar B, Bailes J, Sherman S, Finan J, Stone J, Lee J, Ahmadian S, Zhou Y, Patel V, Smith D. Effect of Internal Jugular Vein Compression on Intracranial Hemorrhage in a Porcine Controlled Cortical Impact ModelJ Neurotrauma. 2017 Apr 15;34(8):1703-1709. doi: 10.1089\/neu.2016.4648. Epub 2016 Dec 16.","Sindelar B, Bailes J, Sherman S, Finan J, Stone J, Lee J, Ahmadian S, Zhou Y, Patel V, Smith D. Effect of Internal Jugular Vein Compression on Intracranial Hemorrhage in a Porcine Controlled Cortical Impact ModelJ Neurotrauma. 2017 Apr 15;34(8):1703-1709. doi: 10.1089\/neu.2016.4648. Epub 2016 Dec 16.",female,female,pig,Yorkshire,Yorkshire,Leica ImpactOne,34,"Sindelar B, Bailes J, Sherman S, Finan J, Stone J, Lee J, Ahmadian S, Zhou Y, Patel V, Smith D. Effect of Internal Jugular Vein Compression on Intracranial Hemorrhage in a Porcine Controlled Cortical Impact ModelJ Neurotrauma. 2017 Apr 15;34(8):1703-1709. doi: 10.1089\/neu.2016.4648. Epub 2016 Dec 16.","Sindelar B, Bailes J, Sherman S, Finan J, Stone J, Lee J, Ahmadian S, Zhou Y, Patel V, Smith D. Effect of Internal Jugular Vein Compression on Intracranial Hemorrhage in a Porcine Controlled Cortical Impact ModelJ Neurotrauma. 2017 Apr 15;34(8):1703-1709. doi: 10.1089\/neu.2016.4648. Epub 2016 Dec 16.",female,female,Electromagnetic controlled cortical impactor,Controlled cortical impact model
,285 g,https://doi.org/10.1016%2Fj.neuroscience.2008.04.003,PMID:18479829,"Griesbach GS, Hovda DA, Gomez-Pinilla F, Sutton RL. Voluntary exercise or amphetamine treatment, but not the combination, increases hippocampal brain-derived neurotrophic factor and synapsin I following cortical contusion injury in ratsNeuroscience. 2008 Jun 23;154(2):530-40. doi: 10.1016\/j.neuroscience.2008.04.003. Epub 2008 Apr 9. PMC2441485","Griesbach GS, Hovda DA, Gomez-Pinilla F, Sutton RL. Voluntary exercise or amphetamine treatment, but not the combination, increases hippocampal brain-derived neurotrophic factor and synapsin I following cortical contusion injury in ratsNeuroscience. 2008 Jun 23;154(2):530-40. doi: 10.1016\/j.neuroscience.2008.04.003. Epub 2008 Apr 9. PMC2441485",male,male,rat,Sprague-Dawley,Sprague-Dawley,,37,"Griesbach GS, Hovda DA, Gomez-Pinilla F, Sutton RL. Voluntary exercise or amphetamine treatment, but not the combination, increases hippocampal brain-derived neurotrophic factor and synapsin I following cortical contusion injury in ratsNeuroscience. 2008 Jun 23;154(2):530-40. doi: 10.1016\/j.neuroscience.2008.04.003. Epub 2008 Apr 9. PMC2441485","Griesbach GS, Hovda DA, Gomez-Pinilla F, Sutton RL. Voluntary exercise or amphetamine treatment, but not the combination, increases hippocampal brain-derived neurotrophic factor and synapsin I following cortical contusion injury in ratsNeuroscience. 2008 Jun 23;154(2):530-40. doi: 10.1016\/j.neuroscience.2008.04.003. Epub 2008 Apr 9. PMC2441485",male,male,controlled cortical impact device,Controlled cortical impact model
Adult,28 - 32 g,https://doi.org/10.1016%2Fj.neuint.2009.10.002,PMID:19833158,"Sandhir R, Berman NE. Age-dependent response of CCAAT\/enhancer binding proteins following traumatic brain injury in miceNeurochem Int. 2010 Jan;56(1):188-93. doi: 10.1016\/j.neuint.2009.10.002. Epub 2009 Oct 13. PMC2815015","Sandhir R, Berman NE. Age-dependent response of CCAAT\/enhancer binding proteins following traumatic brain injury in miceNeurochem Int. 2010 Jan;56(1):188-93. doi: 10.1016\/j.neuint.2009.10.002. Epub 2009 Oct 13. PMC2815015",male,male,mouse,C57BL,C57BL/6,microprocessor controller linear motor device,39,"Sandhir R, Berman NE. Age-dependent response of CCAAT\/enhancer binding proteins following traumatic brain injury in miceNeurochem Int. 2010 Jan;56(1):188-93. doi: 10.1016\/j.neuint.2009.10.002. Epub 2009 Oct 13. PMC2815015","Sandhir R, Berman NE. Age-dependent response of CCAAT\/enhancer binding proteins following traumatic brain injury in miceNeurochem Int. 2010 Jan;56(1):188-93. doi: 10.1016\/j.neuint.2009.10.002. Epub 2009 Oct 13. PMC2815015",male,male,Electromaticalic controlled cortical impact device,Controlled cortical impact model
